Country,Location_Type,MT,Cost Centre,Grade,Jan_HC,Feb_HC,Mar_HC,Apr_HC,May_HC,Jun_HC,Jul_HC,Aug_HC,Sep_HC,Oct_HC,Nov_HC,Dec_HC,Jan_Budget,Feb_Budget,Mar_Budget,Apr_Budget,May_Budget,Jun_Budget,Jul_Budget,Aug_Budget,Sep_Budget,Oct_Budget,Nov_Budget,Dec_Budget,Dec_Variance
HK,Onshore,WRB,WRB_HK_1121,B5,1,3,2,2,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
SG,Onshore,Risk,Risk_SG_1070,B4,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,S&T,S&T_UAE_1066,B6,6,5,4,6,4,6,4,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
HK,Onshore,WRB,WRB_HK_1122,B6,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,CIB,CIB_UK_1095,B7,5,4,5,5,3,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
GBS IN,Offshore,WRB,WRB_GBS IN_1125,B6,4,5,4,6,6,6,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
GBS IN,Offshore,CFCR,CFCR_GBS IN_1060,B5,3,2,4,2,2,2,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
IN,Onshore,WRB,WRB_IN_1127,B4,5,4,6,5,5,6,5,5,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1
GBS IN,Offshore,T&O,T&O_GBS IN_1191,B7,4,4,4,3,3,2,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,T&O,T&O_UK_1194,B5,2,1,2,1,1,1,2,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
IN,Onshore,S&T,S&T_IN_1056,B4,4,4,4,6,5,6,5,5,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1
US,Onshore,T&O,T&O_US_1198,B7,6,6,5,5,6,5,5,5,6,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
UK,Onshore,T&O,T&O_UK_1195,B4,5,3,3,3,3,5,4,5,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
UK,Onshore,WRB,WRB_UK_1139,B4,2,3,2,2,4,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
GBS IN,Offshore,Risk,Risk_GBS IN_1068,B5,4,4,2,4,2,3,3,2,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,Risk,Risk_UK_1055,B5,3,3,5,4,4,4,5,3,3,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
UAE,Onshore,CFCR,CFCR_UAE_1066,B4,3,3,2,2,2,1,1,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
US,Onshore,T&O,T&O_US_1199,B5,1,2,2,1,3,1,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
HK,Onshore,Risk,Risk_HK_1067,B6,2,3,3,4,4,3,2,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
GBS IN,Offshore,T&O,T&O_GBS IN_1192,B6,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,T&O,T&O_SG_1200,B5,4,3,2,4,4,4,4,3,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
GBS IN,Offshore,WRB,WRB_GBS IN_1126,B5,4,3,5,5,3,4,3,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
CN,Onshore,CIB,CIB_CN_1084,B6,2,4,3,3,2,3,4,4,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,WRB,WRB_UK_1140,B7,3,5,3,4,3,4,4,5,3,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
SG,Onshore,T&O,T&O_SG_1201,B5,4,3,2,2,2,4,4,2,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,WRB,WRB_SG_1127,B4,1,2,2,2,1,3,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
GBS IN,Offshore,T&O,T&O_GBS IN_1193,B4,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,T&O,T&O_SG_1202,B5,3,3,3,3,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
HK,Onshore,T&O,T&O_HK_1171,B6,4,4,4,4,2,2,2,3,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,GCFO,GCFO_UK_1032,B7,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,WRB,WRB_UK_1141,B5,4,4,3,4,3,3,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
GBS IN,Offshore,S&T,S&T_GBS IN_1062,MD,3,3,4,4,4,3,3,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
UAE,Onshore,T&O,T&O_UAE_1214,B4,4,6,4,5,4,6,4,4,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1
IN,Onshore,WRB,WRB_IN_1128,B5,6,4,6,4,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
IN,Onshore,T&O,T&O_IN_1180,B7,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,S&T,S&T_UAE_1067,B7,5,6,4,4,6,5,5,4,4,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
SG,Onshore,WRB,WRB_SG_1128,B6,5,4,4,5,6,6,6,4,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
GBS IN,Offshore,CIB,CIB_GBS IN_1092,B6,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,Onshore,T&O,T&O_UAE_1215,B7,5,5,5,4,6,4,4,5,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
US,Onshore,WRB,WRB_US_1134,B6,2,3,4,4,3,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
IN,Onshore,T&O,T&O_IN_1181,B5,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,CIB,CIB_UK_1096,B7,3,3,3,4,2,2,2,3,4,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
GBS IN,Offshore,T&O,T&O_GBS IN_1194,B6,3,3,2,4,3,2,2,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
US,Onshore,WRB,WRB_US_1135,B5,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CN,Onshore,T&O,T&O_CN_1203,B6,5,6,4,4,4,6,4,5,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
GBS IN,Offshore,T&O,T&O_GBS IN_1195,MD,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
IN,Onshore,CIB,CIB_IN_1101,MD,2,2,4,3,2,2,3,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
US,Onshore,CIB,CIB_US_1106,B5,4,3,3,3,3,3,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
CN,Onshore,CFCR,CFCR_CN_1075,B7,5,6,4,6,4,6,6,4,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UAE,Onshore,T&O,T&O_UAE_1216,B6,4,4,4,4,3,5,5,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,Risk,Risk_US_1064,MD,4,3,4,4,3,3,3,2,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
IN,Onshore,CIB,CIB_IN_1102,B6,2,3,4,3,2,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
GBS IN,Offshore,T&O,T&O_GBS IN_1196,B5,5,6,4,4,5,6,5,5,4,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
SG,Onshore,T&O,T&O_SG_1203,B4,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GBS IN,Offshore,T&O,T&O_GBS IN_1197,B4,5,3,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
IN,Onshore,T&O,T&O_IN_1182,B7,5,5,4,4,5,3,4,3,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
GBS IN,Offshore,WRB,WRB_GBS IN_1127,B7,4,5,5,6,4,4,5,5,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,CIB,CIB_CN_1085,B6,4,4,6,5,6,5,5,4,4,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
SG,Onshore,GCFO,GCFO_SG_1020,B6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,Onshore,CIB,CIB_UAE_1106,B6,3,4,4,2,3,3,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
US,Onshore,S&T,S&T_US_1075,B6,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
HK,Onshore,S&T,S&T_HK_1063,B4,2,4,4,2,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
IN,Onshore,S&T,S&T_IN_1057,B4,3,5,5,4,3,4,3,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,WRB,WRB_US_1136,B5,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,CFCR,CFCR_UAE_1067,B6,5,4,5,5,5,6,4,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UK,Onshore,T&O,T&O_UK_1196,B6,3,2,3,2,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
SG,Onshore,Risk,Risk_SG_1071,B6,4,4,4,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
US,Onshore,WRB,WRB_US_1137,B6,1,3,2,1,3,2,3,1,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
SG,Onshore,WRB,WRB_SG_1129,B6,4,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
GBS IN,Offshore,CFCR,CFCR_GBS IN_1061,B6,2,4,3,2,4,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
SG,Onshore,WRB,WRB_SG_1130,B5,5,5,6,6,6,5,4,4,4,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
CN,Onshore,S&T,S&T_CN_1067,B7,3,2,2,3,2,3,2,1,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
IN,Onshore,CIB,CIB_IN_1103,B5,3,3,2,2,4,4,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,T&O,T&O_CN_1204,B7,4,3,4,4,4,2,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,CFCR,CFCR_SG_1069,MD,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,CIB,CIB_UK_1097,B7,4,4,6,5,6,6,5,5,6,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
SG,Onshore,CFCR,CFCR_SG_1070,B5,6,4,6,6,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UK,Onshore,S&T,S&T_UK_1068,B5,3,3,5,4,4,4,4,3,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
HK,Onshore,T&O,T&O_HK_1172,B6,3,4,3,2,2,3,3,4,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
IN,Onshore,T&O,T&O_IN_1183,B5,2,4,4,3,4,2,4,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,CIB,CIB_UK_1098,B6,2,3,2,3,2,2,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,T&O,T&O_SG_1204,B4,4,2,4,3,3,2,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
HK,Onshore,T&O,T&O_HK_1173,B7,2,1,1,3,2,2,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
US,Onshore,T&O,T&O_US_1200,B6,2,2,1,2,1,3,3,3,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
SG,Onshore,T&O,T&O_SG_1205,B6,3,4,3,3,3,4,4,2,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
IN,Onshore,WRB,WRB_IN_1129,B6,1,1,1,2,1,1,2,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
GBS IN,Offshore,WRB,WRB_GBS IN_1128,B4,4,5,4,5,5,5,5,3,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
GBS IN,Offshore,S&T,S&T_GBS IN_1063,B6,3,2,1,3,1,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
GBS IN,Offshore,T&O,T&O_GBS IN_1198,B4,4,2,4,2,4,3,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
SG,Onshore,GCFO,GCFO_SG_1021,B5,3,1,1,2,3,3,2,3,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
HK,Onshore,WRB,WRB_HK_1123,B6,3,4,3,2,2,3,3,4,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
US,Onshore,T&O,T&O_US_1201,B6,4,4,4,4,4,2,3,3,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
SG,Onshore,WRB,WRB_SG_1131,B4,6,5,4,4,5,6,4,4,6,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
CN,Onshore,T&O,T&O_CN_1205,B4,6,4,5,6,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
IN,Onshore,T&O,T&O_IN_1184,B7,4,6,4,5,5,5,6,5,6,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
SG,Onshore,Risk,Risk_SG_1072,B7,4,4,3,3,3,4,2,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,S&T,S&T_UK_1069,B6,4,2,4,3,2,3,4,2,4,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
CN,Onshore,T&O,T&O_CN_1206,B4,3,3,3,3,3,4,3,2,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,T&O,T&O_SG_1206,B7,3,4,3,2,3,4,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UAE,Onshore,CFCR,CFCR_UAE_1068,B5,4,3,4,2,2,4,2,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
HK,Onshore,Risk,Risk_HK_1068,B6,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
IN,Onshore,WRB,WRB_IN_1130,B7,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
SG,Onshore,T&O,T&O_SG_1207,B6,4,3,3,3,3,4,3,3,2,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
HK,Onshore,WRB,WRB_HK_1124,B6,3,3,2,3,1,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UK,Onshore,WRB,WRB_UK_1142,B5,3,4,3,4,4,3,4,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,Risk,Risk_US_1065,B5,2,2,2,3,3,1,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
HK,Onshore,T&O,T&O_HK_1174,B6,3,1,2,3,1,2,2,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
UK,Onshore,S&T,S&T_UK_1070,B7,6,6,6,4,4,6,4,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
GBS IN,Offshore,CFCR,CFCR_GBS IN_1062,B6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,CIB,CIB_SG_1094,B6,5,4,4,3,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,Risk,Risk_US_1066,B6,1,3,3,3,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
HK,Onshore,T&O,T&O_HK_1175,B4,3,4,3,3,5,5,4,3,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,CIB,CIB_US_1107,B5,4,3,2,4,3,3,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
CN,Onshore,S&T,S&T_CN_1068,B6,6,6,5,6,4,6,4,6,6,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
IN,Onshore,CIB,CIB_IN_1104,B6,3,3,5,3,5,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
HK,Onshore,Risk,Risk_HK_1069,B7,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
US,Onshore,WRB,WRB_US_1138,B6,4,3,4,2,2,2,4,3,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,T&O,T&O_CN_1207,B6,3,4,4,3,4,3,2,4,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
GBS IN,Offshore,WRB,WRB_GBS IN_1129,B7,4,5,6,4,4,5,4,5,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
CN,Onshore,CFCR,CFCR_CN_1076,MD,5,5,4,4,6,4,6,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,CIB,CIB_CN_1086,B6,3,2,3,3,1,2,2,3,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
US,Onshore,T&O,T&O_US_1202,B6,4,4,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
SG,Onshore,T&O,T&O_SG_1208,B4,4,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,Risk,Risk_UK_1056,B6,4,3,4,3,3,3,5,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
CN,Onshore,S&T,S&T_CN_1069,B6,2,4,3,3,3,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
IN,Onshore,T&O,T&O_IN_1185,B7,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,Onshore,Risk,Risk_UAE_1070,B6,3,3,3,3,3,5,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
HK,Onshore,WRB,WRB_HK_1125,B7,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
US,Onshore,S&T,S&T_US_1076,B5,1,1,3,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UK,Onshore,CIB,CIB_UK_1099,B5,3,1,1,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
CN,Onshore,CIB,CIB_CN_1087,B4,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,CIB,CIB_IN_1105,B7,1,3,1,2,3,3,3,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UAE,Onshore,Risk,Risk_UAE_1071,B6,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GBS IN,Offshore,GCFO,GCFO_GBS IN_1030,B6,4,6,4,5,6,4,4,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,Risk,Risk_CN_1069,B6,4,6,4,4,6,4,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
HK,Onshore,T&O,T&O_HK_1176,B5,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,Risk,Risk_IN_1054,B6,4,5,4,6,5,4,6,6,6,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1
IN,Onshore,GCFO,GCFO_IN_1033,B7,5,3,4,4,4,4,4,5,5,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,CIB,CIB_US_1108,B6,3,4,5,5,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
UK,Onshore,S&T,S&T_UK_1071,B4,3,3,4,2,2,3,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,T&O,T&O_UK_1197,B6,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,Onshore,T&O,T&O_UAE_1217,MD,5,6,6,5,5,6,4,4,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
IN,Onshore,Risk,Risk_IN_1055,B7,3,3,4,2,4,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
CN,Onshore,CIB,CIB_CN_1088,B4,4,3,4,4,4,2,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
CN,Onshore,Risk,Risk_CN_1070,B6,3,4,5,4,4,5,4,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,GCFO,GCFO_US_1034,B6,1,1,3,3,1,3,1,3,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
IN,Onshore,WRB,WRB_IN_1131,B6,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,S&T,S&T_UAE_1068,MD,2,3,4,2,4,4,4,3,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,GCFO,GCFO_UK_1033,B7,2,3,4,3,3,2,4,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
HK,Onshore,S&T,S&T_HK_1064,B7,4,3,3,3,4,3,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,CFCR,CFCR_UK_1058,B6,4,3,4,4,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
US,Onshore,CIB,CIB_US_1109,B4,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
IN,Onshore,WRB,WRB_IN_1132,B6,5,5,4,3,4,3,4,3,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
IN,Onshore,CFCR,CFCR_IN_1078,B6,1,2,1,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
SG,Onshore,T&O,T&O_SG_1209,B4,5,6,5,6,6,4,4,5,4,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
US,Onshore,T&O,T&O_US_1203,B5,2,4,3,4,2,4,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
SG,Onshore,WRB,WRB_SG_1132,B7,1,1,3,1,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
CN,Onshore,T&O,T&O_CN_1208,MD,4,3,2,3,2,2,2,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UAE,Onshore,T&O,T&O_UAE_1218,B7,4,3,2,3,3,2,4,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
CN,Onshore,WRB,WRB_CN_1128,B7,4,3,3,4,3,5,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
US,Onshore,CIB,CIB_US_1110,B7,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,WRB,WRB_IN_1133,B7,3,4,3,4,2,2,4,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
HK,Onshore,CIB,CIB_HK_1103,B5,5,5,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
HK,Onshore,S&T,S&T_HK_1065,B7,3,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,CIB,CIB_UK_1100,B7,3,5,3,4,3,5,3,5,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
UAE,Onshore,T&O,T&O_UAE_1219,B7,1,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
GBS IN,Offshore,T&O,T&O_GBS IN_1199,B5,4,4,2,4,4,2,2,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,T&O,T&O_CN_1209,B6,4,3,4,2,3,3,2,3,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,T&O,T&O_SG_1210,B7,5,5,3,5,5,3,3,3,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
CN,Onshore,WRB,WRB_CN_1129,B6,3,4,4,2,3,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
SG,Onshore,S&T,S&T_SG_1057,B6,4,6,4,5,5,5,6,4,6,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
IN,Onshore,WRB,WRB_IN_1134,MD,2,4,2,2,4,4,4,4,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,CIB,CIB_UK_1101,B4,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
US,Onshore,CIB,CIB_US_1111,B6,4,3,3,3,4,2,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,S&T,S&T_US_1077,B5,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,T&O,T&O_UAE_1220,B6,4,6,6,6,6,6,5,5,6,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UK,Onshore,S&T,S&T_UK_1072,B6,2,1,1,3,3,1,3,1,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
IN,Onshore,WRB,WRB_IN_1135,B6,3,3,5,4,4,3,3,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
UK,Onshore,CIB,CIB_UK_1102,B5,2,2,2,2,2,4,3,2,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
US,Onshore,GCFO,GCFO_US_1035,B5,4,4,2,4,3,4,4,2,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
HK,Onshore,Risk,Risk_HK_1070,B6,4,4,3,2,2,4,3,3,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
